"X","Y"
-1597918.43415741,1686066.62842385
-1675027.9875826,1797159.44655464
-1682676.15172156,1675727.52898477
-1551036.86818207,1630244.38446089
-1492705.52502101,1556619.58399032
-1623992.70972869,1719968.36212887
-1534002.92953768,1630161.2653173
-809227.557750275,2328360.57249533
-1028188.93865663,1714680.57552316
-1720778.52451065,1761291.54114819
-1510813.0061277,1402042.7285676
-1693949.30420539,1893872.32037764
-1372145.21508673,1480834.35732341
-1454965.63363556,1424058.35615672
-1625271.10436436,1676967.92601144
-1226748.21050651,1564830.2474393
-1552106.81827542,1808465.16170966
-1422936.60133627,1480384.87735219
-1521610.74777237,1704324.81733242
-1581931.44204749,1638196.78562436
-804422.719896915,2389824.89795939
-1518379.95647634,1675858.72134816
-1169691.82786763,1545066.68170537
-1619345.69251306,1750709.39328787
-1717275.7599936,1747207.17587323
-1727032.3557409,1776163.1971799
-1487941.47964653,1514665.16645401
-1546573.4074116,1683017.18939637
-810862.66209125,2390584.34264249
-847720.078304736,2463701.53276447
-1706191.98786791,1838175.46854306
-1702191.74342108,1655530.10870813
-1353272.90629309,1556520.16758423
-1556972.18754474,1745415.83548959
-1297609.22671184,1550352.59533453
-1669136.49424046,1642090.99252188
-906768.390312954,1855544.46260912
-1636305.11101647,1648671.39135996
-1505485.61095774,1813670.29288971
-1460696.32224679,1894620.39100851
-1630269.63196044,1752979.0054913
-1582098.73309701,1709797.77433673
-1550367.70101895,1721932.70308597
-962520.550565181,2429801.67183403
-1525473.73532621,1621032.09262716
-1677272.09532919,1854026.79582833
-1608663.28416204,1736038.49580719
-1392824.16413333,1465470.67577621
-1651765.39097055,1668843.7233898
-1680573.66102496,1686345.23989035
-1500444.63864671,1550483.48163936
-809161.955521864,2152694.6964279
-868860.482636201,2171686.86612814
-1507193.07632307,1542476.67220222
-1498539.57084321,1476696.94512668
-1623276.57914118,1706656.96033646
-1417217.73499793,1453754.89398795
-1594314.49206629,1753944.99207914
-1522247.4724844,1487025.89406148
-902003.803805742,2121941.29782145
-997150.57125887,1510060.12615827
-1380295.70808015,1406434.05774462
-1551850.55139992,1733293.86048468
-1582274.21571626,1627662.12113199
-977009.831257109,1797316.00365546
-1004181.64059883,1775499.26851239
-1552387.47989849,1691307.94547583
-1427314.75810221,1915150.47897489
-1506666.18478449,1728911.05784324
-1618028.10298689,1625760.98861261
-1132107.97608804,2269714.49588468
-1308605.44734002,1597763.73394006
-1521149.9906167,1624120.08404101
-859655.676750922,2430056.44860101
-1499814.17548353,1448767.08652094
-1431357.8579296,1619918.18520669
-1558941.45725,1713863.74253498
-1286089.68046434,1531674.45853534
-1293475.75327281,1620423.3283176
-1358524.55891992,1593635.04805979
-1505654.87601041,1600983.12488325
-1667982.31534981,1669860.40366108
-1471416.62616932,1948056.94023568
-1459683.00730407,1411321.37013708
-1342821.40834001,1542612.48855113
-1402011.32985295,1376540.63199835
-1575030.35235528,1677725.4806715
-1602913.56646534,1611266.15118918
-1699045.04711388,1855661.1454258
-1184638.65040393,2233181.15331573
-1604496.74295375,1607354.65516316
-1602853.5919584,1779193.29634651
-1454925.85787915,1551765.78095761
-1446004.82489934,2004059.9262105
-1653319.90626067,1713608.91830923
-1601092.82205243,1745967.48251583
-1262138.25387211,1577731.62174444
-1687186.35842464,1756520.68867112
-1688111.31308041,1692604.47605185
-1458657.41197585,1426764.05090113
-890292.591069363,2157008.6982413
-1414196.87146404,1905347.41206471
-834435.499757229,2111647.27210813
-1290212.20909196,1586114.65467066
-1729270.6753338,1831169.91299099
-1161173.61249649,1601905.01405281
-1411519.0216062,1655267.48016393
-1534174.85652669,1406626.62912291
-1504668.92751807,1509992.09805454
-841250.951253562,2428710.60613505
-1620436.04975117,1670544.58723706
-1387668.53190321,1604745.61374089
-1313351.52814444,1563083.74271321
-1457865.60220339,1948709.49034761
-1597822.68184352,1549291.86151841
-1514724.24745255,1497008.30131644
-1506038.1620008,1395545.8665828
-1628680.45979814,1590741.12614761
-1219376.42874212,1537336.77834835
-1721614.46105911,1855336.94149682
-1428844.90834157,1604731.07821876
-1341268.95247628,1487994.64046372
-1162076.44299528,1555905.05355217
-916512.498008691,2120570.7977939
-1020063.09701954,1633801.5621648
-1431524.48554546,1604603.63851217
-1492298.77405156,1512529.58109824
-1692173.65088908,1636981.49994385
-1259827.89959371,2107414.97758694
-1177526.77744576,1539967.05903158
-1119237.17140112,2192605.94944809
-1504256.33771709,1716638.76457627
-1643449.76787275,1664523.24466006
-1552471.62924227,1640686.20108019
-1575240.06840699,1802517.4617043
-967127.806100661,1436125.95706389
-801148.312322583,2159470.452026
-1563651.14415048,1631503.92046597
-1430460.9258564,1563482.16202517
-1344894.77783159,1529095.62242552
-1477468.27113918,1465255.50991658
-815751.376356212,2436802.99107055
-1740317.26262028,1787768.99842443
-883708.974006221,2149695.78793742
-1496370.99487047,1757048.68134967
-1495321.99769212,1863544.4207605
-1678525.47004657,1762715.2891464
-1557435.81421938,1649986.66246865
-1739200.60852528,1784028.44500384
-829385.832131008,2363162.77174785
-1559422.23572758,1653705.80844655
-1712805.39085218,1763648.2976565
-1448144.10713649,1522369.79128536
-1480299.34580966,1432432.66158738
-1505190.1129091,1555996.27116693
-1524321.2613725,1387878.77563946
-912763.262566224,1995445.39034154
-1260754.42976697,1587364.85652617
-1599187.81667803,1608594.22892108
-1490282.97711008,1597920.79056642
-1426197.4459979,1586670.91701276
-817807.449373642,2445080.11004206
-1179325.70268492,2213750.64345079
-1462383.4873391,2024028.20319417
-1581587.65598478,1563567.90247747
-1573215.18396509,1404596.09668065
-1156717.98343601,1579102.29499879
-1632929.01420883,1702320.70829786
-1608817.97654872,1688350.24095915
-1204848.06226285,1531211.6055943
-1508197.76733537,1456035.05085276
-1607916.76019249,1604301.36799665
-1541007.30437334,1785261.2203053
-1466626.62044353,1942614.13998212
-1496638.6630894,1385427.88111347
-1347159.25992509,1559669.78446673
