"","x","y","Real","Observed"
"515656",117.3375,3.82916666666666,0,0
"1558459",113.120833333333,-2.97916666666667,0,0
"1200703",111.4875,-0.645833333333338,0,0
"841310",117.495833333334,1.70416666666666,0,0
"1116725",114.020833333333,-0.0958333333333385,0,0
"1357618",110.1875,-1.67083333333334,0,0
"864660",109.8875,1.54583333333333,0,0
"1097842",116.2875,0.0291666666666615,0,0
"1282888",115.295833333334,-1.17916666666667,0,0
"1414081",112.479166666667,-2.0375,0,0
"714179",111.595833333333,2.52916666666666,0,0
"1171144",109.920833333333,-0.454166666666671,0,0
"1544192",111.2875,-2.8875,0,0
"1422023",114.8125,-2.0875,0,0
"667000",112.179166666667,2.83749999999999,0,0
"447959",117.204166666667,4.27083333333333,0,0
"1159768",110.895833333333,-0.379166666666672,0,0
"618796",114.8625,3.15416666666666,0,0
"1159101",115.979166666667,-0.370833333333338,0,0
"1314589",113.429166666667,-1.3875,0,0
"667462",116.029166666667,2.83749999999999,0,0
"937129",117.8625,1.07916666666666,0,0
"791200",114.9375,2.02916666666666,0,0
"1027742",117.4125,0.487499999999995,0,0
"1033877",115.329166666667,0.445833333333328,0,0
"859480",109.2875,1.57916666666666,0,0
"244969",117.645833333334,5.59583333333333,0,0
"1408950",112.2875,-2.00416666666667,0,0
"472184",116.8875,4.11249999999999,0,0
"586787",114.1625,3.36249999999999,0,0
"737747",116.445833333334,2.37916666666666,0,0
"1088869",116.004166666667,0.087499999999995,0,0
"1333896",114.695833333334,-1.5125,0,0
"1305322",110.695833333333,-1.32916666666667,0,0
"1211292",114.595833333334,-0.712500000000005,0,0
"660895",114.5125,2.87916666666666,0,0
"1395118",114.079166666667,-1.9125,0,0
"1349404",116.229166666667,-1.61250000000001,0,0
"641812",115.1125,3.00416666666666,0,0
"1301980",114.770833333334,-1.30416666666667,0,0
"156775",116.970833333334,6.17083333333333,0,0
"1366636",110.845833333333,-1.72916666666667,1,1
"1425826",114.579166666667,-2.11250000000001,0,0
"1406515",113.279166666667,-1.98750000000001,0,0
"713104",113.279166666667,2.53749999999999,0,0
"700218",112.3125,2.62083333333333,0,0
"502818",116.770833333334,3.91249999999999,0,0
"904365",110.870833333333,1.2875,0,0
"267794",116.304166666667,5.44583333333333,0,0
"636822",116.095833333334,3.03749999999999,0,0
"1351333",111.020833333333,-1.62916666666667,0,0
"1453865",114.120833333334,-2.29583333333334,0,0
"1472720",111.620833333333,-2.42083333333334,0,0
"422156",115.0125,4.43749999999999,0,0
"923631",111.795833333333,1.1625,0,0
"764192",113.345833333333,2.20416666666666,0,0
"1215838",109.9125,-0.745833333333338,0,0
"793554",113.270833333333,2.01249999999999,0,0
"1102808",115.104166666667,-0.00416666666667176,0,0
"776842",112.345833333333,2.12083333333333,0,0
"779565",113.754166666667,2.10416666666666,0,0
"339317",116.395833333334,4.97916666666666,0,0
"294833",118.154166666667,5.27083333333333,0,0
"266645",117.370833333334,5.45416666666666,0,0
"1185596",113.295833333333,-0.545833333333338,0,0
"1506111",113.195833333333,-2.6375,0,0
"1157594",114.0625,-0.362500000000005,0,0
"1427972",111.179166666667,-2.12916666666667,0,0
"1401709",115.795833333334,-1.95416666666667,0,0
"1243398",116.104166666667,-0.920833333333339,0,0
"1307213",115.8125,-1.3375,0,0
"767199",117.120833333334,2.18749999999999,0,0
"1147057",111.3875,-0.295833333333338,0,0
"490974",113.845833333333,3.98749999999999,0,0
"1351742",114.429166666667,-1.62916666666667,0,0
