"","x","y","Real","Observed"
"1042282",110.879166666667,0.387499999999995,0,0
"1165239",113.920833333333,-0.412500000000005,0,0
"1032539",114.820833333334,0.454166666666661,0,0
"1278945",114.3625,-1.15416666666667,0,0
"526942",115.6125,3.75416666666666,0,0
"1536983",115.0625,-2.8375,0,0
"509005",115.120833333334,3.87083333333333,0,0
"924234",116.820833333334,1.1625,0,0
"1117513",109.945833333333,-0.104166666666671,0,0
"863727",112.754166666667,1.55416666666666,0,0
"1034750",111.9625,0.437499999999995,0,0
"1295344",112.679166666667,-1.2625,0,0
"1332702",115.3875,-1.50416666666667,0,0
"687913",116.1875,2.70416666666666,0,0
"1239128",112.445833333333,-0.895833333333338,0,0
"942647",110.6375,1.0375,0,0
"1219771",110.7625,-0.770833333333338,0,0
"936271",110.7125,1.07916666666666,0,0
"1132820",109.804166666667,-0.204166666666671,0,0
"1407788",113.245833333333,-1.99583333333334,0,0
"1312922",110.179166666667,-1.37916666666667,0,0
"1044742",110.095833333333,0.370833333333328,0,0
"353290",115.779166666667,4.88749999999999,0,0
"609734",113.8375,3.21249999999999,0,0
"935116",111.729166666667,1.0875,0,0
"551301",116.4125,3.59583333333333,0,0
"741114",112.579166666667,2.35416666666666,0,0
"1464229",115.354166666667,-2.36250000000001,0,0
"566414",114.654166666667,3.49583333333333,0,0
"515603",116.895833333334,3.82916666666666,0,0
"270686",119.120833333334,5.42916666666666,0,0
"905123",117.1875,1.2875,0,0
"708328",116.045833333334,2.57083333333333,0,0
"315389",119.1875,5.13749999999999,0,0
"1023378",112.970833333333,0.512499999999995,0,0
"1052725",112.770833333333,0.320833333333328,0,0
"678589",112.979166666667,2.76249999999999,0,0
"237173",116.529166666667,5.64583333333333,0,0
"1000921",117.379166666667,0.662499999999995,0,0
"1087249",113.145833333333,0.0958333333333288,0,0
"1451294",113.979166666667,-2.27916666666667,0,0
"1576463",114.170833333334,-3.09583333333334,1,1
"943079",114.2375,1.0375,0,0
"812822",114.2125,1.88749999999999,0,0
"1184168",112.0375,-0.537500000000005,0,0
"1625112",115.195833333334,-3.4125,1,1
"1140541",110.295833333333,-0.254166666666672,0,0
"432509",116.154166666667,4.37083333333333,0,0
"1133114",112.254166666667,-0.204166666666671,0,0
"1140463",109.645833333333,-0.254166666666672,0,0
"1067275",116.9625,0.229166666666662,0,0
"1314213",110.295833333333,-1.3875,0,0
"1278604",111.520833333333,-1.15416666666667,0,0
"1126379",109.3375,-0.162500000000005,0,0
"1402632",112.845833333333,-1.9625,0,0
"1066763",112.695833333333,0.229166666666662,0,0
"274417",118.2875,5.40416666666666,0,0
"188604",116.170833333334,5.96249999999999,0,0
"995088",111.3375,0.695833333333328,0,0
"1530178",111.5625,-2.79583333333334,1,1
"1059488",115.920833333334,0.279166666666661,0,0
"886848",113.879166666667,1.40416666666666,0,0
"1417988",113.1125,-2.0625,1,1
"754144",114.745833333334,2.27083333333333,0,0
"729505",111.6125,2.42916666666666,0,0
"1663467",115.570833333334,-3.6625,0,0
"1458862",113.195833333333,-2.32916666666667,1,1
"1054380",115.920833333334,0.312499999999995,0,0
"1198760",116.579166666667,-0.629166666666672,0,0
"1121740",113.245833333333,-0.129166666666672,0,0
"1246458",109.679166666667,-0.945833333333337,0,0
"483767",117.6375,4.03749999999999,1,1
"872699",113.029166666667,1.49583333333333,0,0
"562548",114.3625,3.52083333333333,0,0
"706589",112.195833333333,2.57916666666666,0,0
"780599",111.729166666667,2.09583333333333,0,0
"1465646",116.520833333334,-2.37083333333334,0,0
"1428002",111.429166666667,-2.12916666666667,1,1
"1274811",111.8375,-1.12916666666667,0,0
"1358913",110.3375,-1.67916666666667,0,0
"1119487",115.754166666667,-0.112500000000005,0,0
"833331",114.854166666667,1.75416666666666,0,0
"1492993",110.295833333333,-2.55416666666667,0,0
"1508959",115.645833333334,-2.65416666666667,0,0
"862341",111.845833333333,1.56249999999999,0,0
"1164947",111.4875,-0.412500000000005,0,0
"664914",116.079166666667,2.85416666666666,0,0
"1224114",115.029166666667,-0.795833333333338,0,0
"757697",112.429166666667,2.24583333333333,0,0
"552588",116.495833333334,3.58749999999999,0,0
"1354152",113.229166666667,-1.64583333333334,0,0
"1543275",114.2875,-2.87916666666667,0,0
"1082611",117.0625,0.129166666666662,0,0
"1036378",114.8875,0.429166666666662,0,0
"1280204",114.2125,-1.1625,0,0
"359610",115.2375,4.84583333333333,0,0
"178471",116.8625,6.02916666666666,0,0
"1086477",117.354166666667,0.104166666666662,0,0
"896552",109.6125,1.3375,0,0
"1011984",113.795833333333,0.587499999999995,0,0
"951669",111.329166666667,0.979166666666662,0,0
"1086329",116.120833333334,0.104166666666662,0,0
