"X","Y"
-1299106.14175967,2089790.97109386
-1416300.44706461,1623499.87003834
-932207.105904881,2098483.95026303
-1384826.70005947,1640261.62997557
-1122065.50740442,2270082.74487875
-1155844.27496883,1672845.8206384
-1145610.82765499,2190695.45702306
-1550721.78563574,1799029.98678167
-1633768.64288023,1834570.71022758
-1511543.79084319,1790552.17253606
-1207091.72680378,1631662.28132007
-1139460.60595146,1618999.15458571
-1573709.84391863,1842496.14399439
-1340815.77328877,1942746.81955381
-1529404.489345,1840966.91701224
-1664374.11271375,1915396.67765335
-1677284.60146093,1903323.26916923
-1155009.26222447,2125642.86174581
-1474636.28982537,1902472.93553904
-1444544.03100876,1802382.21565895
-1488842.06527908,1786922.21182395
-1225049.09506656,1632848.86053059
-1397247.5169956,1949663.43779004
-1617793.00676988,1604728.57413809
-1212079.21409104,1599896.01213338
-1078808.7424056,1699560.59806465
-1408511.22720665,1938740.55449797
-1259900.70914738,2065090.6140619
-1124460.94390252,2185859.74086941
-1362776.53937739,2008839.06182537
-1390441.98754902,2038703.22913408
-921274.8409607,2157967.8913204
-1161102.24640482,2094405.87173472
-1091938.27649465,1690500.91577674
-1465230.39470823,1671805.73201718
-806502.136448818,2120851.54084359
-1649840.15046162,1881138.39322224
-1492550.80254518,1734376.92388543
-1392483.39706469,1806722.98428984
-896000.985765007,2134323.99993022
-1537477.95356192,1804459.02034642
-1275951.00970935,2014484.20112524
-1406293.61397473,1969095.92466361
-1389019.36033036,1653447.25535296
-1419436.04556357,2037367.8679226
-1519720.15381945,1773969.80901715
-1252192.21637816,2120880.03144127
-1463801.91817283,1884046.1664419
-1513295.02738945,1843674.15110075
-1537794.53575875,1846238.01457422
-1189030.15988903,2158119.7287109
-1145816.72935881,2220631.89490689
-1471031.05639067,1809661.67646187
-1422932.54433323,1764403.12614338
-1338608.67822537,1689149.08846056
-1254786.44659543,2095403.80252164
-1375303.73750372,1706579.40777861
-1619529.69160926,1855268.18545419
-1446793.79254731,1963417.6996003
-1024894.03820389,1723373.10267097
-1163957.24998809,1627624.63808929
-1279890.81185218,2043541.46565982
-1533713.81421893,1836951.42948375
-1136796.99328405,2149787.16641181
-1157287.40554182,2137760.28566959
-1396181.72953034,2005439.99194987
-1461616.30713348,2008032.46207236
-1240695.70168994,1599685.77955061
-1500006.05112564,1775905.64331132
-1199477.22827762,1575510.29378064
-952119.207096592,2125118.11626914
-909439.578960782,2127355.64142022
-1193940.00023714,2143859.39050646
-1162575.01331724,1638194.34420998
-1240588.8671501,2059291.64478793
-1211212.3006968,2097161.70811524
-1452016.01626597,1751594.31218834
-1426538.61586202,1631622.16056824
-1647551.52830158,1855656.25683349
-1139340.83864766,2193738.01976908
-1023229.66743294,1727242.31038147
-1180428.79379581,2194992.32984994
-1486830.58757791,1819342.92060062
-1393617.26205769,1831373.91434696
-1382766.83221366,2029627.84486374
-1504162.23252723,1805182.19368856
-1374375.47564689,1666536.76968273
-1439995.72755494,1992075.57199866
-1446443.87207971,1842191.66773423
-1121058.48423067,2192539.40718202
-1270481.17546448,1992065.86259685
-1391828.22486909,2009412.8722013
-1511968.20765664,1781018.78111582
-1480348.01419015,1687295.79636414
-1264422.21304076,2086543.97233631
-1243138.03994218,2099639.96525965
-1601312.57640712,1564438.79337749
-1653831.83899539,1871439.95440729
-1111312.26460311,2200383.3253962
-1323103.24531463,1601914.32978278
-1193176.83064388,2147641.786214
-1398053.71975382,1810268.16131817
-1440902.599355,1801605.09457816
-1412527.32069626,2025435.79556271
-1120805.88614857,2235577.85640529
-1374922.48793541,1658870.69043302
-1220440.33529451,2100554.64263389
-1260009.5591735,1612278.37846027
-1136308.58939964,2235008.00187622
-893823.069753709,1936468.83488741
-1355660.54520614,2011986.41692516
-1187212.00505491,2134736.9305612
-1425826.94863261,1845067.07936517
-1645370.73722938,1617583.37487086
-1357459.11682529,1589854.14669027
-1098756.78211059,1680708.95716784
-1347231.30700757,2026505.13706602
-1045181.55608076,1738878.82786245
