"X","Y"
-1418355.58888564,1534343.08918512
-1004617.0249742,2089607.60744996
-965574.4745628,1833792.99907138
-953074.858506632,2010254.21646947
-1140521.3758405,2030223.25735876
-1006852.78823209,2129938.44950335
-977021.508306255,1937693.47260536
-1033418.5729143,2108388.53189704
-955843.344974817,1896708.29296263
-1082341.01207051,2052129.92361123
-992133.759972147,1902176.18184937
-1034030.8438123,1992514.21517804
-1016165.256408,2054404.9930826
-1164331.00708333,2012349.62562164
-971092.045808456,1978532.62446514
-1071056.55079828,2144652.68206263
-998679.793042716,2074750.94704058
-1014226.59104155,2243020.73916264
-1199916.24323926,1880459.3404601
-1197725.70516524,1734167.66308348
-1009258.94855371,2037676.7157141
-1315298.71621914,1628084.0026958
-1045759.65739336,1991169.68204494
-1355101.10007332,1636834.9517363
-1062628.83552702,1877992.53158714
-871151.468839896,2220306.37417368
-980278.750733568,1954612.39084948
-1429732.21156455,1548183.98375731
-1010549.89766563,2131694.19194033
-977041.732605653,2136537.15056719
-1505036.53688553,1660293.40438846
-1244465.67902679,1669316.71857024
-1086963.2135292,1952878.45094389
-1106815.79719328,2001283.56240381
-945249.050059849,2020873.51426063
-1519220.02571564,1585942.19972424
-970143.259760229,2119856.02544814
-1175085.58937839,2009106.76045035
-921183.075508395,1974415.68660836
-1377553.33856118,1894716.52811275
-1037942.09774184,2134532.180603
-1102226.91936476,1800621.34897681
-1204489.16218922,1950342.83933256
-1071842.66741843,1908939.76356592
-1152137.32342373,2049574.702595
-899124.483803875,2241000.59954295
-1138770.9472892,2007654.99416737
-1006758.18808493,2044355.26103244
-943986.368789096,2156338.43728156
-1074248.15484556,1900329.79836865
-942167.217701821,2156394.46032497
-944825.088103731,1919783.62265901
-1122369.87822612,2029954.03018478
-1306754.25011541,1908265.73119519
-934130.950217266,1983467.05330639
-1027833.13043244,1836493.22455057
-1047579.96474357,1912627.17872553
-964503.862328495,2027813.79998724
-988602.468994499,2044006.7803175
-1045981.72337283,2156775.67409345
-937656.677989385,2009789.03250434
-1172109.73019116,2073292.37712797
-1134607.56006996,1896239.54785804
-1011149.43864543,1930900.41826621
-988502.259103783,1873860.4106712
-1107939.61246887,1982361.04488351
-1025122.73656808,2132148.20564014
-1413549.60641331,1546074.83488772
-974402.920985659,2053883.29909278
-926427.660980437,1908987.45202343
-1203735.11272401,1954154.70771079
-1232554.06483331,1728954.25348064
-935930.634198064,1604974.84843232
-902847.351393067,1966461.00411847
-1274487.31792199,1679519.54762687
-983205.32641779,1905308.32699993
-1626280.92926389,1796014.88093171
-983647.438254155,1891082.16873577
-1062381.17093468,2104576.57127032
-1219061.40276169,1862625.75001856
-954753.11427936,1919473.30148485
-1155264.08711984,2036266.13450181
-1053365.54058318,2054085.54391818
-1409552.21263559,1613295.52095655
-1084653.20766073,1862987.01652983
-1011383.00591591,2047028.60673646
-1407809.98142336,1614333.72551959
-927440.878719036,2001609.21074943
-1199052.26029488,1881441.51724161
-1268210.51749694,1743676.35839476
-1158172.79345992,2017300.3320438
-989524.864801859,2128626.01841095
-939170.112380839,1883012.46189322
-1034391.72518539,2056617.90980341
-1232245.7153256,1677457.24989555
-1105216.01627628,1932357.25652692
-970932.706557097,1888648.26321828
-1136546.11672358,1707933.34398142
-1049898.8713327,2085263.69410237
-1341049.50338822,1643199.09548101
-1035156.38682867,2079181.92915311
-928731.343231069,2044003.62529213
-937677.977264174,2039960.94976943
-1013630.61948068,2087428.99813231
-1613050.25296608,1801476.80523381
-1072923.33239474,2198006.32574173
-1077313.12892118,2193171.43874737
-1035693.89260152,2041502.32113812
-1049057.877347,1903105.0741233
-1150411.1059312,1789318.55051952
-917216.55443181,2204930.39660267
-1021069.07768887,2038226.07462689
-928960.531782944,2051532.94081075
-1261334.95842301,1686754.20741993
-1048604.2426071,2074018.63893578
-1035897.56475852,2235756.44098542
-1135809.05187938,1880082.250039
-1029468.35409398,1805084.68183692
-967299.662481356,2058817.74640719
-994618.92977933,1922927.86659864
-963289.842064616,1960827.12598779
-1146562.7075958,1997926.0796844
-1154286.84795417,2034418.22690986
-1060664.80588303,2160021.47404404
-1007007.08040696,2134627.14568916
-1035220.07694151,2081061.32895196
-1146331.55787466,1895799.17727222
-928051.730950423,1932604.65397232
-1500552.31201255,1516915.0170193
-1157861.13567101,2056892.29260731
-1242840.50402326,1695156.18481976
-974895.001783497,2126278.84611798
-1038747.2919024,1998017.57687582
-1248638.18061606,1683464.88911147
-1134533.11075905,2064358.65250355
-1051260.92592624,2072045.20953159
-1335338.25189547,1736972.64731161
-949947.567469596,1997140.40183056
-1312908.21012801,1883365.44558139
-1035382.42932585,1820088.86424914
-1113480.73451214,1935840.36293812
-980679.755954452,1855141.96404612
-1216381.65970755,1930951.01680181
-960710.252291974,2196110.4120226
-954842.260548054,1922310.49235869
