"X","Y"
-1513572.67132973,1509543.85276276
-1003890.21288411,2262037.5770181
-881192.69105684,2316144.40677744
-858965.51509495,2241215.80634756
-1049736.29109139,2186636.69031659
-888981.477386363,2459768.84002715
-972646.279162789,2227543.5506518
-985049.525345061,1440348.08576938
-877187.213584914,2368343.33506054
-930182.952314161,2271822.99500617
-936269.965638835,2053193.30031192
-875516.244849575,2245419.91421832
-953383.533340507,2283239.20225378
-1004894.80396191,2292787.79985649
-941196.078018961,2273353.86121382
-772430.170344185,2248185.47553536
-961650.339124689,2197017.13601239
-996782.610990505,2324722.07866332
-902683.21890408,2083383.70385144
-890847.224133614,1958307.95663194
-923721.710389813,2453200.80458139
-981179.713452141,2237553.80187816
-1009283.78783819,1394327.47075877
-916621.256255769,2246089.00932845
-1008392.58853262,2260023.13126401
-936114.85884889,2286567.30601781
-965499.557532498,2232443.2567887
-877772.257291394,2228533.44050143
-1067100.22259105,2214117.50216744
-926474.713811557,2270068.74600908
-775195.28046472,2285449.6300297
-973907.706248568,1453208.46440473
-1002429.57518013,2273284.04333535
-1022028.02399327,1377527.07449472
-1052941.82251511,2120874.69151656
-897073.097315912,2077904.21966152
-894792.01085374,2280336.73215052
-941823.670362397,2293851.44187234
-1004673.05254857,1415652.91633619
-1045502.7854829,2196145.0924126
-1038317.51618041,2226327.18353396
-1037282.11168772,2276792.38656495
-1035046.70086898,2210538.07999673
-949433.342626272,2185224.51812754
-990811.253616224,2253125.55110602
-1061118.50972105,2120592.12462455
-981308.397669387,2156103.01889889
-892389.05089691,2450420.2969745
-956179.704259443,1566999.63764139
-978908.92559934,2166493.50754295
-1058877.80186525,2161020.92406486
-931231.033830546,1859547.4141017
-872089.49908114,2221214.96146001
-970766.555668963,2254699.31773928
-1033853.56972973,2229282.51643222
-1028537.46156396,2125461.40005205
-952580.276770563,2169198.21226749
-1043747.23797917,2144657.77158604
-1096481.08097475,2142814.24433079
-938398.604538928,2211775.4917086
-839006.092818932,2312666.72012723
-1021547.38203311,2161351.17764208
-927021.880905373,2257917.84978193
-1379183.62140002,1870944.10358025
-1039073.79563771,2141063.4700028
-935532.726181898,2387984.30774144
-992048.169415892,1383353.02756649
-954954.246257377,2186926.25925249
-1033379.06751671,2188129.01078198
-1072137.84134875,2175556.56008083
-887091.273310801,2457973.38347659
-1003643.34686188,2226545.64179015
-1027350.03807489,2198630.9101624
-1034167.01843578,2211503.32391513
-943525.52178803,2379386.74825591
-872514.24503007,2236161.34158233
-917902.99448615,2350429.92907624
-821163.5226004,2295444.79435842
-772406.692986621,2247251.92176203
-911917.158411082,2210702.8858122
-900407.987335811,2284836.00160628
-936407.281023586,1881201.79623887
-969540.573206495,2360932.02452963
-1057545.27525057,1303033.89614649
-911837.933375048,2300346.91039413
-1022832.19423004,2172556.74273006
-887744.385889325,2448703.42984575
-921024.895867384,2271165.66688665
-875143.596341288,2232347.81228376
-894291.981059742,2231795.96939619
-973320.938194662,2220041.58070672
-1022125.63796878,1562911.60896073
-1028025.85349057,2273371.68408735
-1036742.72271729,2206738.1102429
-984588.080543973,2229967.42585135
-1516381.56370568,1653992.54670597
-988567.690824883,1493069.10727888
-979820.510695265,1416478.13541568
-931492.631455567,2345373.02269436
-978220.337615706,2144945.36303782
-943317.536298836,2402590.88681704
-948870.308869242,2196479.08609363
-1063681.69082354,2220783.30535859
-867788.054461565,2295096.9821875
-965906.962494562,1844226.74515157
-1052146.46818405,2177186.47258144
-967085.545543967,2195910.00164414
-972550.052475596,2195737.16621071
-994312.386345076,2135980.88836455
-979921.261920646,2255342.45124213
-1030522.1363412,2211625.97656134
-928619.278290188,2402109.138975
-962617.597351219,2227859.70155189
-931565.509566691,2197009.6939742
-991936.644563399,1487197.43519355
-1432152.23177292,1486667.856588
-897549.777262066,2438239.00186657
-899426.865295543,1973176.73706797
-899834.819878396,2265260.65543833
-1024339.1983378,2163133.05412681
-953645.584517654,2232813.77745005
-954779.329931843,2181311.51353213
-1058124.24785902,2191967.05886001
-1007127.15411436,2193684.66059168
-919036.335122341,2388480.07393793
-1030483.71465491,2264890.93289793
-813834.131197742,1885684.06440677
-1002307.60532559,2241543.48660696
-865534.346371745,2247571.16926807
-930522.420417813,1954284.08835709
-1061863.3126691,1299985.78727042
-1055913.48471041,1306950.67829205
-981685.356727813,1446226.42024055
-941803.616389403,1968115.44020604
-925486.799362263,1937413.68307086
-974588.520331768,1861980.09176026
-940020.492159882,2205175.84136899
-914641.588502225,1907450.41045144
-1373082.82082935,1540284.37493369
-843475.156707707,2308818.72571559
-1060910.46890731,1298090.05221599
-926559.014334469,2272865.50704003
-1035644.06523055,2282443.89005255
-1022435.93189518,2242748.51731996
-997588.968448606,2152763.30853476
-1042961.27766401,2201848.02791169
-834409.750898596,2311860.27215856
-1009932.77183662,2223534.300304
-1008232.33518852,2227330.17603986
-928742.689279843,2224228.48214053
-876143.922905766,2299520.26724231
-915077.061008712,2072665.12682427
-1018218.74950972,1395949.19306478
-1037827.10634548,2157990.86037773
-984886.404501488,2154112.4367734
-1011551.60203106,2244977.40598287
-922552.765783421,2291638.86978593
-920008.092003821,2390307.10172677
-994104.388974219,2185681.58769831
-943136.560645861,2277026.1416831
-1030952.48578604,2278870.87012549
-875948.817609973,2228585.5299986
-930592.667345198,2406686.30865647
-820865.075479712,2284264.45957923
-1050648.12069791,2239927.57774505
-998385.479106841,2205203.23966358
-1004027.33310269,2182548.09271241
-1474424.48558361,1657986.15499802
-885934.349815437,2449680.66260326
-1032501.49613267,1527090.0676036
-826429.82168636,1884395.78871095
-1010030.98363143,1416434.29372466
-932918.084321324,1885101.18339515
-921457.990389426,1953614.51338264
-951513.684951326,2370783.79290567
-995222.362594262,2248313.21361845
-986579.754934181,2178430.55687431
-860897.26291148,2408708.34789629
-990830.072616773,2282055.37232227
-882169.733869243,2222797.20790606
-907969.186127493,2231394.48342294
