"X","Y"
-1152139.69929705,1367971.47137656
-1041855.86767304,1335411.31436291
-1431112.82701794,1390566.49884293
-1269721.3567785,1482470.93001545
-1259533.74945921,1452158.40636495
-804762.16829042,2193109.7818404
-1449017.95534575,1466646.28831059
-1040811.50734541,1509535.49960718
-986363.048572753,1534396.32963006
-831065.745391315,2021370.71934363
-805684.615130105,2021108.96318094
-1273483.02620011,1403479.7535196
-939019.569607196,1306043.56054915
-1188114.0726905,1402185.51427918
-902685.384712606,2331346.80514889
-1358761.37330205,1363129.39543906
-1071800.1889745,1553514.00702147
-951202.612530964,1410668.52471784
-1145782.14134664,1433660.00507134
-1310366.33521804,1373000.51710812
-1039490.15160305,1293056.30093232
-1137360.25329969,1399349.25267695
-1320079.17181456,1391831.07188052
-846277.159777526,2014350.02430065
-929816.707925518,2441913.68111118
-1041217.10396632,1546923.16792493
-972292.624408725,1734643.38683495
-856480.945243945,1830425.18284653
-968188.192387886,1413971.27006926
-1355825.6488326,1435451.00755232
-1141101.42617174,1474202.67549922
-984322.187514296,1391310.4565386
-1000833.5489779,2336687.69892837
-1204356.09647063,1474606.6517934
-896464.076751216,2464176.47593133
-1049139.95472739,1543771.61933621
-964649.097526514,1441974.38034652
-955236.119903583,2431879.96325492
-1507243.19103581,1366594.31685548
-1535060.28324284,1441210.77972375
-840332.81337206,1930424.64332005
-1358708.10851296,1440127.7841145
-1014521.5066662,1522908.12623143
-797731.720320684,2028861.37909229
-1255576.91794679,1400388.15705323
-1071207.18516185,1289036.3521531
-972770.184053214,1363763.63239879
-1426600.77029068,1370559.2880357
-810533.602443281,2343212.48728555
-839293.653509058,2023974.32049999
-852130.589273888,2029275.37043566
-721608.16023008,2377948.64142616
-1528877.21468355,1547131.66047339
-888883.132890735,2328956.45691772
-1249323.03148217,1420856.38771592
-873359.403706751,2330331.24111277
-1293159.30990336,1468020.72499448
-1197290.98100956,1431641.75308507
-1131757.7032352,1368751.5994463
-1389921.9181638,1403100.55267008
-1100022.98045659,1302459.36753185
-944753.348267014,1319365.21638729
-1048168.91951321,1515995.29103901
-1364313.04141018,1426409.60726933
-909709.188968693,1595252.97290891
-847074.16271389,1945374.78718117
-1220130.29793111,1402819.61496319
-820602.524661757,2172080.15372778
-800467.137190185,2343475.66552189
-856499.592667561,2481944.55788309
-957053.649109288,1482571.238783
-821168.042628313,2329905.85054701
-1082170.59162249,1274160.61169889
-1423514.10885816,1380338.05967249
-1339370.37428076,1505358.50752069
-798683.02128942,2310013.73834236
-1321623.62209295,1346489.61511459
-1368225.056009,1414687.11741574
-1175579.78434221,1445002.12180151
-1381516.99238492,1317740.3313422
-838363.285386981,2222154.84533052
-1164259.8152879,1382909.91752527
-1073941.55013972,1266734.80059709
-1331604.9304162,1331585.37439119
-781036.961791308,2335602.29739935
-1095842.37801315,1261107.28861982
-957757.39344506,1448924.43225876
-1205245.98596008,1452472.3491231
-840526.277021428,2368435.51143998
-1423147.46916303,1372650.6608613
-820104.664495882,2324349.61588698
-1100929.46741563,1568747.93628574
-933068.860744276,1628019.58126827
-929375.294687409,1624309.04211571
-991433.541246083,1607023.46632205
-1046800.86936502,1274461.13331274
-1694113.39690502,1783733.26037492
-1206301.29064252,1346559.83899243
-809706.671181515,2173307.23400294
-1366909.61463779,1463782.91448281
-757911.733636097,2363144.31345165
-1256545.28838745,1444594.3465369
-840724.835132969,1944605.15214385
-815117.318846091,2171289.33684698
-845214.996800613,1943534.83114032
-902411.868990456,1649982.33294133
-863484.593480686,1918417.04109142
-1213216.88322682,1385774.53477534
-1046187.13771993,1510307.89585169
-1009467.0287401,1531710.03628808
-1152294.54932815,1418021.25307054
-1225527.37397218,1513107.76123324
-840021.268463318,2182798.04564025
-1016737.92218713,1300596.49802076
-1211258.26673681,1403180.70549914
-1179686.27832425,1368821.44940112
-848123.393644568,2245254.37592154
-830654.630782682,2006288.75442331
-1037609.23718142,1494290.68428802
-1359291.04931666,1433370.45535908
-1072940.06569985,1288008.81466004
-1219747.90770208,1480706.64319433
-1239140.87782887,1497193.01968063
-961727.938223583,1406482.86670082
-990022.277828283,1537152.21632975
-1273687.08138211,1491904.41092165
-843248.728246459,2333961.96112282
-998611.893894319,1500415.03138002
-783528.060712994,2361574.66610977
-902389.708822348,1619392.46076655
-1408163.55095277,1412831.64621691
-958332.847671384,1411402.78157152
-970446.921062006,1538750.47330121
-989248.873364157,1567844.4545249
-1237756.54541297,1506847.97325228
-938517.433581215,1573303.69258134
-836679.622429836,1994798.13922408
-1182042.06362418,1428401.83066773
-1016902.49089097,1305414.62328314
-1002031.30936493,1310741.95081079
-903971.618046037,1642290.6354897
-952641.748324663,1568069.97244879
-1074693.22101032,1312066.4738628
-1080174.88467807,1316690.66839106
-1670345.06556474,1745075.69421766
-961366.099805322,1422848.82304586
-1031712.35888869,1375267.86156553
-1010550.51478196,1431805.34275113
-796493.167090606,2190516.42666474
-1015855.61235472,1378700.75695697
-1299921.98501553,1418698.40518921
-1367081.66493537,1389715.9712295
-948706.667165724,1613184.95653579
-774161.28876731,2353446.24342086
-1178192.46963226,1534188.15434777
-1211279.10568828,1491612.52247407
-1382153.69225746,1369761.55732051
-1075057.00274595,1519839.85191559
-999412.34730939,2377626.59605164
-1258917.80321641,1374252.26530217
-836572.108849869,1957958.03368121
-1014676.24807162,1318029.6544202
-1040591.05602469,1554612.01090815
-1355145.67446029,1400848.79809642
-1175655.64984489,1401716.09101394
-1348284.85982689,1386719.59743574
-1071570.01637758,1274544.43915064
-1030000.2323821,1300140.5504173
-895337.035517078,1592813.03941599
-949479.436787266,1609333.98011623
-992722.363634332,1564856.00515534
-1214181.61918558,1497254.8958575
-1372486.36473321,1410642.97820057
-997852.798093891,1344627.91243811
-1219677.61727662,1500871.10490946
-1386239.36508806,1400384.30963646
-1375938.70413602,1447031.07147915
-1028588.77838726,1361891.10986767
-1295716.10946565,1383270.44965337
-1234274.27383095,1508910.79393595
-1305690.71680421,1469398.14282189
-941807.774468955,2443401.81256638
-949699.293859011,1447259.02162552
-964927.824671904,1450616.24646528
-924770.908055444,1590964.6934224
-875065.539797175,2358182.79402891
-912490.084371539,1335797.13936279
-1399479.05744601,1436324.56587083
-1389564.38188899,1395416.99252066
-1332176.8227551,1424011.69559251
-816421.721633594,2323516.58935267
-922796.409149801,1613990.9839921
-921756.476963729,1609239.69356307
-1542552.04176866,1396570.02965021
-1039759.44911979,1300766.07776522
-839690.062967455,1874550.57629182
-973296.595022746,1516600.56021969
-1191043.72610545,1408805.00058182
-1324951.64974218,1441642.29544879
-851585.189532123,2337454.13845924
-1507165.511204,1559730.21584147
-1279521.12198097,1440736.15932644
-1183551.78918825,1421609.44632665
-1382535.66703506,1320586.56090712
-1247692.10621284,1467068.23890383
-778433.194581431,2341249.92434028
-959092.605586832,1602331.28031832
-976822.03884192,1352070.02067058
-788022.899074021,2322394.62090786
-988460.688998498,1543914.39584095
-1304501.79980175,1360734.48142896
-1336085.64590276,1392081.81177291
-894934.526812455,2316679.16834535
-1036401.73952207,1280617.35610922
-1052036.04060566,1322519.68600638
-1061450.76002325,1288420.89183075
-1723503.54271679,1745900.06452167
-1210273.09421699,1488772.91006735
-1044038.93985403,1321836.73167717
-1018152.21045719,1577414.16291817
-1389914.28943892,1307703.05186743
-1040619.14203873,1529686.58678206
-998179.066530441,2339564.47414464
-906683.330509274,1852700.06826231
-1206057.29840353,1450517.40980508
-1050922.71304768,1543709.24270748
-807373.802511968,2327478.49784074
-905330.164141655,1568575.43978803
-960458.051136012,1477660.67486417
-1164377.08543916,1500191.41070465
-822305.869687783,2235677.89650983
-822824.719052522,2187011.31193118
-1057720.87586081,1332924.39211777
-1024790.40446054,1406310.55743147
-1138663.57577622,1363672.44733427
-1353139.86267916,1356640.4546151
-1217196.26001842,1483691.38157166
-1108547.54483347,1509026.16707384
-1366960.19661583,1348300.64003736
-946614.623969403,1322199.06192294
-1173642.19812896,1486389.91505014
-838814.634036777,2205303.00051961
-1383615.64597057,1497589.50231895
-1012685.64825082,1627358.10411841
-1006317.27233147,1332776.49937072
-806033.183831856,2034299.12089906
-1434729.47416086,1428883.80658911
-946896.672149149,1555796.82838278
-1176050.66565161,1389187.28902072
-1029082.76086127,1299207.45257587
-1020387.25909705,1538052.43946885
-1000632.33410502,1454248.67916049
-896778.875890604,1822609.66368582
-814183.544200993,2447026.73864489
-791076.974651404,2334415.64439948
-994711.905872665,2374064.30835861
-1210505.44498158,1494523.83066798
-1184545.69626421,1491721.43252121
-1240166.66051531,1478907.63387578
-1060541.08043387,1312573.84622363
-1187903.61807317,1441631.21543159
-1327118.06508143,1490545.18248151
-1008177.70908593,1440538.73696376
-1395009.79871042,1378794.86990407
-831977.176650768,2493695.97729449
-1214414.59633027,1503004.38506155
-984957.981605297,1545946.6526171
-942692.03874793,1621025.84185682
-1288275.42849919,1396108.00947605
-1002246.87888175,1555916.57005348
-782730.243286901,2366240.79696832
-998806.550032023,1533025.76659634
-961294.625155888,1393023.28643654
-1122118.11181054,1372005.18963864
-1718335.14291719,1750004.22379957
-839899.83321685,1947465.30686483
-957599.383315994,1416236.49295298
-1166483.63187426,1394375.82071233
-1385533.25580988,1423509.82520877
-959767.444164459,2429887.31665269
-985366.405093918,1558391.7346898
-871357.381849103,2004208.39166376
-1385743.1801166,1370558.31850105
-1244534.23686729,1476805.57051187
-1032960.6415833,1566372.87527224
-1249489.82728919,1382352.54699714
-1145904.80761598,1506661.71203261
-1029496.43934101,1543493.32149832
-1302221.64881622,1369504.27926434
-1401759.58491849,1466014.34801519
-1342856.13199805,1364813.02194294
-960949.872902552,1548641.87561046
-867870.992674931,1882291.07170968
-1031083.33810898,1511790.68708233
-1010296.59060073,1476981.01765879
-1382203.58434712,1409232.75641736
-840884.615118369,2347978.89457188
-872339.273511861,2326637.41584466
-1001530.87360199,1481116.8724162
-1149208.67391096,1499817.13604973
-889565.548759526,2480087.91784117
-1228853.61450926,1507214.29462007
-1255415.35352246,1396544.93247173
-1214572.62648171,1397271.42275434
-1222949.2049675,1406553.68758159
-1067897.95068673,1270814.66990329
-1198037.02071467,1517097.07723652
-1184679.66097235,1405208.97913437
-1184765.93862744,1384991.61511036
-900638.235124864,2323961.06659585
-1274874.91262124,1436127.17895374
-1041875.87299036,1540190.14655149
-1322186.35361664,1379220.76362624
-1231172.42464989,1411989.27459955
-1401738.67868726,1427563.54711998
-1241985.33827612,1479792.65087969
-1004652.18399303,1309689.06279822
-1136474.81628163,1516615.61906209
-868691.086182432,1879423.40162972
-1215236.86514551,1413603.77316166
-1086091.20117224,1284636.19204451
-1033755.36405735,1537594.84238733
-865819.819894571,2000591.29546986
-1006562.62794242,1445399.64030086
-949207.849752681,1600731.08756717
-1080360.14718197,1297390.44255666
-981377.059879066,1382742.95324034
-1042001.57383,1518128.91129397
-1534053.29789735,1578485.68370486
-1269414.20014943,1412313.34188459
-922666.371587393,1815180.91599138
-1298480.28147806,1426456.27167462
-1429811.83812417,1381963.03209271
-1253701.38415008,1504265.90402786
-1262359.14659582,1434735.05082569
-1131550.89828852,1410155.30598222
-1211233.53368646,1446463.46951922
-1109216.85843964,1383080.34755121
-958879.147906595,1595639.04595233
-1275636.61498242,1516774.16142367
-1264257.17286324,1437539.48081968
-1066296.31675525,1324905.50704753
-1251701.32657303,1435183.09244285
-966208.587350754,1435194.19086962
-990714.392724151,1369915.64863271
-1206477.96392576,1416844.89095796
-1135671.37378341,1448466.34630443
-932390.725235172,1838630.52251801
-1339822.85362585,1415974.0855513
-1305429.8272157,1361657.33093627
-951826.539743214,1598734.33318391
-1095211.78643621,1292022.78787962
-1070097.59025229,1307408.93583899
-1293458.8686471,1413206.43752647
-873333.033759143,2329401.36397308
-1329920.26478971,1393319.72374415
-860968.455075419,2345564.47452081
-1258517.74178182,1385824.75573428
-1040643.18559343,1376883.77871672
-944234.913546715,1330952.15484317
-933193.575628217,1574427.27266497
-1329421.68382698,1342287.40587432
-1292557.46087887,1516049.48731277
-917044.514008309,1572051.37626648
-1720042.63835405,1764189.30750149
-976043.448602002,1546237.88498849
-1210195.63559736,1486855.72949714
-1019531.54346516,1356421.5978891
-963800.119677169,1388129.38893216
-843664.84893139,2249113.74811422
-811056.93561619,2328312.4460788
-999474.922594541,1313721.44799508
-1111219.86648478,1484930.00154076
-865006.403132646,2424349.16864667
-1368804.64016006,1407925.09947203
-932225.271920922,1286959.6433948
-1691774.98364275,1741978.03354656
-822673.961771249,2181394.95780868
-1290243.30340646,1359427.73055643
-1270972.24534686,1386259.92731083
-1030759.53015445,1373374.69888828
-1691311.80785767,1781987.43493996
-942197.729798165,1434998.91176874
-1342832.52967734,1344578.00384317
-1040778.36607112,1304589.52973684
-1360786.39932896,1388078.00794139
-1033503.35059172,1299054.29311565
-865597.162982538,1960927.36050422
-1288859.00289087,1450909.46594408
-1314755.5234146,1371844.27084325
-1172256.52893627,1360444.41380619
-1233779.48662038,1432081.57856168
-1136729.12167592,1406109.82207639
-1062344.47895646,1313474.09684379
-1385861.11105398,1334896.4658072
-953173.887229433,1613043.73043255
-1212691.24027727,1416593.39780323
-1336065.4892921,1511263.72760476
-996017.522263852,1342761.72579127
-1413951.03845556,1478889.64454821
-1029665.8703591,1496484.55017282
-1249835.81842349,1539918.53452209
-992651.762169067,1589756.79797714
-866355.104116468,2341693.35515059
-1321102.618541,1475446.18227504
-1063779.18674306,1328852.29982237
-1040491.52417055,1551740.48898192
-1319240.78863625,1453429.75456372
-831830.51481845,2216720.85701444
-978554.403547269,1595962.14183547
-1333202.84356502,1327657.00597543
-1285624.92581409,1500034.0976623
-889070.984808664,2335464.65684526
-972643.134195174,1496470.07439448
-1392449.20447466,1400095.44188996
-1711370.03813201,1754208.72289204
-1145340.55161336,1422136.25578686
-1424842.55872187,1408191.90102863
-749047.611158276,2375437.2136626
-1240863.57589235,1388489.33816961
-987138.186320997,1585151.68766267
-1376526.31940433,1382542.0088782
-1229810.27001387,1400497.78825314
-1341826.65045019,1500449.77880635
-1150515.14125828,1464235.96073046
-1081532.5656425,1280941.3168584
-1003806.27555339,1549156.10671877
-930203.156879207,1420949.43817754
-940272.00706964,1572291.06716879
-853740.840617276,1893117.94581702
-769073.512154623,2333111.94210513
-915349.895984071,1313532.54221101
-833381.588428968,1874724.50598044
-1288097.54058408,1350848.14480557
-972456.351834538,1354139.80676885
-937339.063774459,1794767.08117961
-992710.833744051,1376590.72602568
-1096689.78172391,1260110.29278045
-884419.257031237,2205893.62867225
-747951.389143504,2368033.09524233
-902412.817672799,2322047.28472405
-1232337.11760598,1418675.74056031
-1281363.0210577,1421423.7876549
-1293526.5768572,1435326.15849701
-1273475.69967978,1465982.41043788
-1284827.68095163,1460693.11751388
-819239.593710499,2326234.32739314
-1063847.94316497,1330778.11092193
-819682.785103173,2205820.2445586
-787285.59431347,2365195.72272136
-989992.924461753,1617593.74362691
-1205357.84976422,1411117.52296789
-1226182.71619848,1507323.6752862
-938989.174705766,1305079.85264804
-807861.807612797,2172418.73879655
-1282010.96650338,1478105.85442845
-861384.420413999,1908060.27655512
-727258.231377332,2384314.99267952
-999975.954633623,1487890.25630485
-1063252.79032983,1289321.64567675
-851394.899709761,2463600.59731733
-944325.490030366,1305875.74100612
-1037419.4715845,1540344.54677307
-1291061.01269874,1398875.33241889
-977249.341392542,1501119.28499739
-985551.612944825,1347928.25344752
-1222895.02071272,1514174.70339365
-987181.499894671,1559290.27023138
-1150740.60172588,1400761.5828716
-805982.25740159,2344261.92991703
-1145794.90160568,1503786.90419825
-1260099.02735623,1444444.84598949
-1076091.57465756,1277277.36719775
-1540730.43818241,1499522.16541433
-848110.885407613,2178827.7905537
-1191495.24293971,1442449.71554012
-988597.233626314,1386355.83394679
-1100307.76995336,1310166.43654802
-1201065.63556507,1348698.71354413
-933825.317673871,1338028.05935239
-1127362.18391764,1535182.40384286
-1193965.28136503,1526851.64753126
-755414.724043582,2373424.47533666
-1261861.3328725,1380869.16796573
-967773.213677589,1538836.8279538
-897994.098192752,2296094.24344498
-1408417.0949722,1399346.7100896
-1138479.97319961,1358862.47603546
-1339027.92852435,1497695.34324353
-1708859.9135555,1725769.66579131
-1302584.98588683,1418582.4541776
-861553.830542735,1945913.83756036
-973595.416243114,1498358.85256698
-892923.418902318,1844565.99020909
-1450153.89775197,1416596.1925994
-1308336.56917129,1509608.08472955
-963007.366723725,1501580.32696639
-837658.425236151,2330392.36449378
-987719.734953107,1630100.10616605
-1175335.29057701,1416161.93463492
-1428559.48828221,1430141.02689327
-992304.318992773,1579236.5709095
-855758.235673923,2455156.43327878
-1306897.31702833,1415508.04310472
-840947.474002557,2485142.27221612
-861692.771562802,1982769.80461519
-1408496.4854638,1438785.82126142
-1268054.1990583,1443147.30628013
-854128.840276894,1842836.02098213
-1078510.23395413,1319644.23344531
-978309.091090438,1343348.1477442
-930702.980219691,1813034.3306755
-1118557.93163229,1538388.31089427
-963924.297110538,1391975.93344433
-1345084.19971587,1394565.79611592
-1242609.10588993,1451905.00164976
-980028.440190178,1586341.77219015
-1381262.93292903,1350532.77320275
-1198258.72638324,1389266.95306065
-853291.138732021,1909235.81291664
-905839.415864017,2501777.14578351
-1012010.50662737,1607294.84669403
-1143081.0892129,1432801.80423554
-1300077.39327608,1442733.87022749
-1063412.59520066,1269044.35987514
-1273673.35808996,1387107.61472918
-1011268.31955512,1322002.94848265
-1436608.89279122,1412439.71810021
-1061347.60405659,1285529.16884599
-855884.965876903,1873149.74109672
-859506.702430177,1937458.318359
-990729.584002792,1477634.80539875
-1032104.55502497,1489680.78506947
-1028328.31315573,1587600.0109854
-1186710.47628693,1433986.77852856
-1038432.67826608,1492342.20681251
-999952.762211006,1594300.85980302
-961972.646834491,2412214.17611183
-1381759.30740766,1438110.12940124
-1323660.87485407,1372413.74034277
-1099005.17544429,1564986.63667877
-813658.5255853,2014294.89097775
-902521.858622542,2325767.57511572
-1145859.94841061,1412496.40001955
-1154396.78377821,1518808.96396346
-1266555.8497123,1428787.64846819
-1207758.40229982,1492714.69977549
-847423.883925997,1925495.6265799
-813720.419350989,2359863.18722763
-1220310.3785433,1385485.40833622
-1180304.05329989,1429432.2043749
-1043836.38842327,1316057.52461232
-961232.71089978,1391100.10441939
-849798.78761241,2206872.32683868
-744870.265244503,2392247.86672002
-1732939.77284996,1769163.80153352
-1323250.47155865,1403241.29125316
-943380.344337548,1331943.28142082
-1122438.48276083,1427813.98135332
-1068259.65328705,1379759.87477406
-1077242.16557994,1309080.59657167
-1375152.52360519,1372011.51845174
-1055328.97274848,1567511.09228114
-1366922.02660739,1444560.52666635
-1396003.43936519,1343099.37268152
-1432968.18888242,1466458.14652221
-961073.33197597,1496843.40862
-981188.689153105,1567150.94212302
-770627.02200036,2395326.88002587
-1032567.00847699,1503103.3074644
-1151798.43356626,1520827.42166021
-1377849.96455672,1334303.80682083
-1310028.58738372,1365309.30529638
-858898.413294604,2468940.41385684
-1023936.04873415,1407302.08548435
-1207024.07954678,1474499.21616541
-1234548.26180362,1364675.06874149
-1097436.79566072,1280358.83148481
-1180627.72758434,1460180.74551828
-904894.630921432,1643218.62526432
-919706.663885583,1600690.99238996
-1200224.84259964,1438255.00748591
-1307359.21157483,1426069.27353548
-1268141.24072636,1466208.88672342
-926235.112013055,1814121.66442616
-1048072.1898475,1386252.53839538
-916501.228846304,1322176.49163518
-1303647.734176,1402178.45557746
-1034214.95665855,1576865.52103394
-826947.545698658,2170972.31082
-953269.813921679,1531630.64019081
-996228.327353857,1509131.26468682
-841088.729708847,2321921.68133329
-1362568.86917151,1368735.84952818
-1070443.80741851,1317041.99995973
-1309765.48772575,1440388.35587917
-967253.841841315,2434284.14053032
-1046997.85631434,1330410.82999749
-1294980.90606152,1510188.02035112
-1287363.92500074,1498999.58728699
-1322330.54820468,1483075.26380134
-927485.124046346,1563109.65079686
-1049247.38417947,1293678.8726523
-1177875.92893565,1367929.74278005
-1058404.22347153,1352176.658441
-1363945.56170571,1360002.40916409
-1333952.40170597,1364249.11579069
-1384689.91043951,1424510.79243026
-919582.139432694,2499526.26161197
-982534.305623092,1553693.37210122
-852705.918257234,2344864.27984681
