"X","Y"
-1040714.73278657,1818005.80003257
-1192904.63611351,1839940.0310757
-1176237.69410876,1805441.27870794
-1311306.09670089,1909016.61078709
-1143685.26266717,1730544.81532742
-1318481.3930938,1886915.32041928
-1062380.92371368,1922527.70991288
-1026335.96626311,2087004.85520145
-1227820.50027177,1767245.40431547
-1172768.51367063,2019571.57825208
-989879.916008091,1943899.2783952
-1331000.85261776,1638866.02410466
-1003844.73831527,1846791.16724945
-974649.613404028,2004854.17531607
-1008485.5770616,1877943.94666277
-920991.95676788,1998029.54365104
-1388445.50017343,1856292.51282613
-1044305.77478486,2001602.76583947
-1121505.66413828,1981864.39599433
-1071164.62923988,1966672.33523269
-1076584.6361203,1991983.93862212
-1035492.32211377,1955619.45839838
-1155526.76871649,1923861.54219116
-984344.403442518,2052622.46292243
-1175517.58020614,2091033.99900115
-1072439.94450681,1951502.88536524
-1138160.49531922,2064223.64337438
-1098919.86892376,2033635.78435775
-1182216.30289895,1682324.51118011
-1226623.5715203,1737772.10848649
-1134911.16647804,2025718.89784299
-1146545.87023472,1901475.60279655
-1346628.74967545,1647728.41868288
-1258108.63469061,1933983.77548779
-1381973.13406943,1872713.80083881
-997198.961529772,1946497.55477997
-1038752.86798063,1813321.8498503
-1118131.64878112,1743888.15102589
-1000263.49339822,2095392.27819578
-1128002.18524594,1743521.21581499
-1083687.96559513,1987955.3935374
-967664.73036701,2156537.18759064
-1116545.69375012,2044303.67932522
-1357417.25575249,1888990.19134266
-1041204.75057002,1963931.88889804
-1118896.68001575,1911031.13398128
-969351.902515368,2066284.39391903
-1156020.81568935,1794810.97011724
-1018753.54568132,2023220.98712025
-1144512.79423325,1823762.16706058
-1008758.94471923,1967859.81043342
-1113584.7341275,1864784.48332983
-1134684.65980756,1970984.96545924
-1096472.67219609,2041262.94523944
-1162238.47200384,1981281.28658665
-1108919.29650325,2034216.3904096
-1120343.38114755,2048874.66275514
-1039170.66666369,1930901.70248419
-1044945.16237349,1941111.0533704
-993505.868791929,1861366.29213706
-1187632.81559913,2051981.44531616
-1112150.89057681,1801209.07741563
-1069004.71109805,1879664.8305335
-983348.819883719,2078071.17959623
-1105397.81097179,2037171.56449827
-1018749.50935995,1888028.93782767
-1020352.3457392,1962747.96362091
-1141917.2037433,1970714.48367213
-933342.158809324,1987268.6502091
-1062433.46222189,1769702.0388193
-1025189.38531762,1972035.32176525
-1015442.37934164,1870125.59940394
-1099993.48376553,1888036.9504179
-1032845.42922658,1824925.65175338
-1092689.5497527,1961181.51051309
-1212966.01404117,2072637.99941611
-1022112.48587276,2096549.73637902
-1025101.20275713,1809035.06623781
-1058937.34978354,1824024.75286012
-1110668.07669681,1933104.77210022
-974679.023379236,1977473.38514856
-1051773.3069153,2007951.25207333
-1375207.67287171,1645481.21632599
-1057876.45229933,1767958.22551701
-1216278.93438105,1793399.9679863
-1198435.50228866,1934502.41886386
-984381.690124766,1969602.95976194
-995180.77312335,1912494.99181883
-1457769.90790505,1815054.71371927
-1071775.91123006,1907047.91495073
-1033134.70517636,2046299.88198185
-1047665.87904673,1888940.28035265
-1004488.10064203,1948149.12478307
-1161698.88937488,1896162.61243328
-1215406.72421087,1974482.25023222
-1123633.70115277,1722719.36107867
-1212988.09370502,1801138.92859002
-1075619.5077364,1939095.47629823
-1172227.79855014,1748505.38312848
-1368608.58594278,1717373.48423973
-1120590.08202786,1713298.31917135
-1267596.08411963,1879603.90800935
-1098987.69655245,2035518.33073784
-1362252.9754745,1916243.75695573
-1162238.69478838,2076492.43836644
-1037686.48656778,1913913.64094059
-1213921.5263955,1869471.66777654
-1229730.54510695,1992794.32267374
-1262748.93884014,1699099.69698786
-1068651.5862344,1972430.1014976
-1103506.5187636,1811031.16100035
-979835.916613993,2110152.58727246
-1040944.0641076,1929894.70887521
-1108739.12386058,1732801.07587907
-1163286.9429074,1985018.80899846
-1145622.38173682,1997017.58881757
-1225422.04185014,1886075.84772377
-1067912.96339676,1977179.59066419
-1120861.27365202,2062980.87717759
-1155745.86308368,1905863.1030131
-1204644.56898327,1840425.08963837
-1203579.90185844,2088060.79707176
-1256578.86335159,1831669.07404221
-965097.043296741,2104043.12880481
-1054792.78468476,2095439.33340559
-1097630.1814027,1997840.68697645
-995617.746474721,1898272.61842925
-1397815.46908782,1883365.3762973
-1122687.92380783,1964815.19892566
-1138799.71149474,1791659.97636026
-1115167.42990229,2006640.8611569
-948249.139953614,1971694.96618252
-1083956.12627448,2020972.58824286
-1021963.92303037,1903081.60995905
-1174467.9094751,1993087.2353111
-963465.815446325,2138844.65168997
-1187072.12318672,1714570.8455613
-1062678.34053607,1931035.27707326
-985715.081957234,1927004.0169398
-1284692.91787626,1729640.20058494
-1157040.66746955,1939890.10722663
-1097946.15059815,2031785.72182494
-1106891.01098111,1903894.09569835
-1081483.02715733,2104846.61659378
-1027774.2042411,1968168.57942992
-1223993.0857036,1962799.26068966
-1024979.30452545,1938952.71610362
-970924.490472084,1860200.14111801
-1245341.25633295,1865352.55492519
-1275641.52429429,1899169.0837369
-1255410.75172003,1738494.90095327
-1070061.5122371,1961040.48051358
-1063434.39541858,1849505.20870123
-1284958.70679897,1778194.72164519
-960861.468979353,1912652.90208461
-962087.341612512,1951411.09748438
-1060520.11256359,1895127.60026201
-1271658.09879606,1633783.88480979
-1076051.23727823,1976893.02679865
-1018919.10668854,2082550.09872037
-1076551.31645883,1888877.38213245
-1331917.46609469,1740934.69177187
-1007081.71959712,2109267.34420664
-1129126.77910623,2065500.40469338
-961541.969689509,1962772.81597526
-1094700.82483675,1966779.83664443
-1135120.09675449,1885795.83133967
-1034222.89763482,1998171.50741648
-1088451.45788619,2045318.83135365
-969706.484587582,1963458.88850946
-1017292.01277905,2088247.80097694
-1079966.70927303,2010738.99610866
-1163346.36356139,2034074.0308293
-1143387.92513602,1985772.46018399
-1007593.69507289,1905456.23925989
-1048764.39366562,1842422.36738154
-1259460.09249563,1727843.97179986
-1110263.91145846,1996438.97884233
-982410.244923576,2048917.14305337
-1055635.97403967,1832688.49997421
-1072110.14299774,1763649.23486859
-1358712.21353451,1877557.16317578
-1091480.88064991,1952716.68832959
-1015338.62041407,1975199.78549092
-1001154.65164642,2067140.79270583
-1023078.17703688,2071120.16485821
-1082795.20305668,1886759.68419366
-1384935.70202772,1878267.865235
-1172073.66739443,2072352.73925716
-1050286.19177141,2096534.69619577
-1032204.24009137,1938708.30328358
-1041429.68524796,1996982.10838901
-1156012.26806592,2056020.71898079
-1023571.54095265,1977758.07427132
-1058671.55156469,1919817.24715634
-1105876.61684511,2000373.91469036
-1153215.71687629,1792065.03053325
-1392974.13261403,1622676.09870382
-1064392.710702,1902571.4904692
-1130717.67319724,1961682.52169358
-1008409.72935124,1848538.03652347
-959585.39049606,1958108.31980784
-1122410.05607969,1981831.07129886
-1405996.75833729,1864970.92808903
-1080270.28832728,1993741.54942787
-1019477.06849005,2044875.07266315
