"Species","SpecGen","AltitudeNiche","WaterNiche","Range","FutureScenario","x","y","Vulnerability","Elevation","Precipitation","Temperature","Rugosity","Corridor_Strength","Habitat_Suitability","Start_Distance","Permuted_CorridorStr","Niche","logCrStr","logPermutedCrStr","jittered_x","jittered_y","Max_resilience","local_moran_I","local_moran_p","significant_cluster","Moran_type"
"HDlong","Specialist","High","Dry","long","ssp126",-961026.784577962,2208088.93960878,4463.46630859375,757,2728.22875976562,23.4860610961914,95.2327117919922,30.3414859771729,86.3872833251953,12373.513671875,254.892776489258,"HD",3.41251595021519,5.54084297237424,-961026.784585263,2208088.939617,0,0.0510662042659973,0.00108488909174035,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-1020592.96478556,2242574.62288687,2612.5517578125,1635,2511.40576171875,18.4306735992432,79.8728637695312,31.4256496429443,2.32109355926514,2090.04150390625,16.8498935699463,"HD",3.44762442706913,2.82434434045476,-1020592.96477958,2242574.62288905,0,0.0656470447786641,0.00152217889655822,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-833534.258519595,2236304.49865449,14459.0546875,304,2271.27905273438,25.6774559020996,88.1589050292969,48.4982452392578,3.36073994636536,26159.357421875,27.8466625213623,"HD",3.88152761665504,3.32671312153913,-833534.258520061,2236304.49865878,0,0.00858644048128866,0.416288822384988,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-850254.589805938,2238394.54006528,7471.294921875,846,2385.07568359375,23.2603893280029,93.7162780761719,53.5892677307129,71.8156509399414,9431.5927734375,65.056640625,"HD",3.98134881912366,4.17525828468287,-850254.589816217,2238394.54007254,0,0.0060041022934402,0.725114729415507,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-956846.701756376,2255114.87135162,8602.6904296875,399,2528.3583984375,24.9725208282471,83.3671646118164,283.469451904297,10.0779504776001,13585.26953125,29.1079940795898,"HD",5.64710436393799,3.37101284709021,-956846.701770492,2255114.87135072,0,0.0239425816312583,0.000668845079799051,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-975657.074453512,2228989.35371671,2719.33862304688,881,2553.41845703125,23.4001502990723,65.9833374023438,392.410369873047,91.0171432495117,3452.25170898438,72.7720031738281,"HD",5.97230815413369,4.28733130944787,-975657.074434229,2228989.35372333,0,0.0674911911233559,0.000462325510473845,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-945351.473997015,2162108.02857134,11558.5625,792,3019.89819335938,23.3610286712646,82.5679321289062,60.0331802368164,47.0421409606934,10345.1767578125,149.039657592773,"HD",4.09489741331871,5.00421242887237,-945351.474013523,2162108.02857127,0,0.00356380733330859,0.101207561516167,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-1046718.48242047,2140162.59375801,13356.9296875,1117,3082.0615234375,21.3746471405029,36.2152671813965,30.9493103027344,22.4228782653809,5355.61279296875,48.985164642334,"HD",3.43235071464109,3.89151748986749,-1046718.48242883,2140162.5937554,0,-0.00536891005305341,0.0565306744611689,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-916090.894245914,2225854.29160052,3723.0546875,643,2660.11743164062,23.8812942504883,69.3969497680664,525.302551269531,74.4098434448242,10151.7568359375,232.298919677734,"HD",6.26397438473383,5.4480249892177,-916090.894239732,2225854.29160081,0,0.0409538820134816,0.0620998751974038,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-1003872.63349922,2301095.78238907,348.340240478516,633,2131.39379882812,23.6196575164795,100.678833007812,31.942195892334,30.6013278961182,8584.81640625,667.945190429688,"HD",3.46392789096636,6.50420611991538,-1003872.63349968,2301095.78237252,0,0.0690114853625496,0.15729486113722,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-1004917.65420461,2283330.43039733,696.680480957031,729,2215.19067382812,23.9678249359131,64.2569961547852,18.5849380493164,44.5946388244629,9405.1865234375,60.9954795837402,"HD",2.92235147037354,4.1107997562428,-1004917.65421073,2283330.43040799,0,0.0750852459198469,0.0135946878140632,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-964161.846694151,2227944.33301132,1360.31213378906,560,2681.92529296875,24.1550159454346,60.2896041870117,406.761383056641,63.107479095459,1045.02075195312,49.6263160705566,"HD",6.00822673109574,3.90452125896918,-964161.8466913,2227944.33301928,0,0.0693575684041804,0.00125031666560562,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-927586.122005275,1918618.20421397,117407.1015625,863,3106.03198242188,23.2327785491943,31.4297275543213,16.8718414306641,36.1378364562988,17122.59765625,22.9897689819336,"HD",2.8256460447601,3.13504929009187,-927586.121991603,1918618.2041997,0,-0.594725456751495,0.227001072863135,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-838759.362046577,2303185.82379986,7742.58154296875,238,2393.28833007812,25.9127731323242,56.5718841552734,23.7763977050781,2.54022336006165,7389.412109375,97.8491363525391,"HD",3.16869339556058,4.58342686756439,-838759.362051078,2303185.8238204,0,-0.0102824885657691,0.630395968364202,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-977747.115864305,2257204.91276242,522.510375976562,777,2312.43627929688,22.6642971038818,38.1464042663574,19.419713973999,67.7562103271484,2955.76489257812,39.7698249816895,"HD",2.96628873433036,3.68310845844777,-977747.11585735,2257204.91275979,0,0.0795926285689169,0.000520903686423737,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-973567.033042719,2218539.14666275,1782.34289550781,960,2620.98828125,23.0927753448486,92.4871215820312,43.6034469604492,88.6790313720703,1045.02075195312,155.265579223633,"HD",3.77513620595591,5.04513706504549,-973567.033045907,2218539.14665126,0,0.0762360930075106,0.000341471369411711,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-893100.438727193,2360661.96259667,10169.47265625,497,2384.01098632812,24.5242385864258,79.1917343139648,16.9398345947266,30.3295803070068,24675.513671875,17.5998458862305,"HD",2.82966792499245,2.86789014554159,-893100.438733794,2360661.96259666,0,-5.58083891810762e-05,0.995254596278565,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-953711.639640187,2073281.26861264,40812.12890625,759,3310.74975585938,23.8555374145508,70.5005493164062,19.8044815063477,10.5085639953613,26977.79296875,62.7607612609863,"HD",2.98590825079418,4.13933005750743,-953711.639646589,2073281.26861588,0,-0.162517776455006,0.202511939780244,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-936991.308353843,2116127.1175339,22465.880859375,387,3330.3115234375,25.6418609619141,69.1625823974609,24.6087303161621,2.00457382202148,47560.71875,218.994491577148,"HD",3.20310127088033,5.38904657688441,-936991.308355992,2116127.1175312,0,0.0772318391951137,0.159366435001699,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-973567.033042719,2243619.64359226,6338.68798828125,794,2438.23999023438,23.3010482788086,74.5310974121094,203.947036743164,83.5074005126953,9751.064453125,19.1997661590576,"HD",5.3178603363281,2.95489809974382,-973567.033034222,2243619.64358918,0,0.0394938030850925,0.000930534874339683,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-1059258.73088523,2127622.34529326,17846.8125,857,3281.21069335938,22.5992279052734,60.0594787597656,31.4943256378174,15.0639362335205,7829.296875,26.3751449584961,"HD",3.44980739112271,3.27242208783785,-1059258.73089814,2127622.34528586,0,-0.031491047005365,0.0569014292374263,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-946396.494702411,2281240.38898653,2529.20288085938,736,2209.53491210938,23.5465278625488,54.169261932373,27.8466625213623,47.9727935791016,5355.61279296875,110.729827880859,"HD",3.32671312153913,4.70709325130493,-946396.494702778,2281240.3889911,0,0.060119043616416,0.00615641075916617,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-946396.494702411,2273925.24404876,174.170120239258,567,2261.07080078125,24.1403884887695,71.8809432983398,23.5076713562012,37.6186294555664,4433.6474609375,274.342681884766,"HD",3.15732680856936,5.61437798877257,-946396.494705535,2273925.24406434,0,0.0739757976118117,0.00501114536304316,TRUE,"clustering"
